"id","name","description_ar","description_en","platforms","category","tags","level","badges","npm","stars","useCase_ar","useCase_en","imageUrl","createdAt","updatedAt"
62,"socket.io-client","عميل Socket.io للتواصل اللحظي من جهة المستخدم","Socket.io client for real-time communication","{nextjs,electron,react-native}","networking","{realtime,websocket,socket.io}","beginner","{essential,widely-used}","socket.io-client",18000,"الاتصال بخادم Socket.io من التطبيق أو المتصفح","Connecting to Socket.io server from app or browser","/uploads/1770315722163.png","2026-02-05 18:22:02.203","2026-02-05 18:22:02.203"
63,"yup","مكتبة للتحقق من صحة البيانات والنماذج","Library for data and form validation","{nextjs,electron,react-native}","tools","{validation,forms,schema}","intermediate","{widely-used,essential}","yup",28000,"التحقق من صحة المدخلات والنماذج","Validating user input and forms","/uploads/1770314742495.png","2026-02-05 18:05:42.547","2026-02-05 18:05:42.547"
64,"multer","مكتبة لمعالجة رفع الملفات في Node.js","Middleware for handling file uploads in Node.js","{nextjs,electron}","tools","{upload,files,nodejs}","intermediate","{widely-used,essential}","multer",22000,"رفع ومعالجة الملفات من المستخدمين","Handling user file uploads on the server","/uploads/1770315392808.jpg","2026-02-05 18:16:32.881","2026-02-05 18:16:32.881"
65,"jsonwebtoken","مكتبة لإنشاء والتحقق من رموز JWT للمصادقة","Library for creating and verifying JWT tokens","{nextjs,electron,react-native}","security","{auth,jwt,security}","beginner","{essential,widely-used}","jsonwebtoken",20000,"إدارة تسجيل الدخول والجلسات","Handling authentication and sessions","/uploads/1770315532314.png","2026-02-05 18:18:52.355","2026-02-05 18:18:52.355"
66,"swr","جلب البيانات مع كاش تلقائي","React Hooks for data fetching","{nextjs,react-native}","networking","{api,cache,hooks}","beginner","{lightweight,beginner-friendly}","swr",29000,"لجلب البيانات بطريقة بسيطة مع كاش","Fetch data simply with caching","/uploads/1770271047703.png","2026-02-04 14:00:00","2026-02-05 05:57:27.751"
67,"next-auth","مصادقة كاملة لتطبيقات Next.js","Complete authentication solution for Next.js","{nextjs}","security","{auth,oauth,jwt}","intermediate","{production-ready,widely-used}","next-auth",22000,"لإضافة تسجيل دخول متعدد (Google, GitHub, etc)","Add multiple login providers (Google, GitHub, etc)","/uploads/1770271560228.png","2026-02-04 14:00:00","2026-02-05 06:06:00.263"
68,"expo-file-system","مكتبة لإدارة الملفات داخل تطبيقات Expo وReact Native","Library to handle files in Expo and React Native apps","{react-native}","storage","{files,filesystem,expo}","intermediate","{essential}","expo-file-system",6000,"قراءة وكتابة الملفات محلياً في التطبيقات","Reading and writing files locally in apps","/uploads/1770352677631.png","2026-02-06 04:37:57.779","2026-02-06 04:37:57.779"
69,"expo-image-picker","مكتبة لاختيار الصور والفيديو من الجهاز في Expo","Library for picking images and videos from device in Expo","{react-native}","ui","{images,picker,expo}","beginner","{essential,widely-used}","expo-image-picker",6500,"تمكين المستخدم من اختيار الصور والفيديو داخل التطبيق","Allow users to pick images and videos inside the app","/uploads/1770352471553.png","2026-02-06 04:34:31.6","2026-02-06 04:34:31.6"
70,"react-native-vector-icons","مكتبة أيقونات شهيرة وقابلة للتخصيص في React Native","Popular and customizable icon library for React Native","{react-native}","ui","{icons,react-native,ui}","beginner","{widely-used,essential}","react-native-vector-icons",21000,"إضافة أيقونات جاهزة وقابلة للتخصيص لتطبيقات الموبايل","Adding ready-to-use customizable icons to mobile apps","/uploads/1770315227948.png","2026-02-05 18:13:48.005","2026-02-05 18:13:48.005"
71,"express","إطار عمل لبناء API وتطبيقات الويب باستخدام Node.js","Fast web framework for Node.js","{nextjs,electron}","networking","{api,server,backend}","beginner","{production-ready,widely-used,essential}","express",65000,"إنشاء REST API وخوادم backend","Building REST APIs and backend services","/uploads/1770313569704.jpg","2026-02-05 17:46:09.759","2026-02-05 17:46:09.759"
72,"mongoose","مكتبة ORM للتعامل مع MongoDB في Node.js","MongoDB object modeling tool for Node.js","{nextjs,electron,react-native}","storage","{mongodb,database,orm}","intermediate","{production-ready,essential,widely-used}","mongoose",28000,"إدارة قواعد بيانات MongoDB","Managing MongoDB databases","/uploads/1770314700895.png","2026-02-05 18:05:00.944","2026-02-05 18:05:00.944"
73,"sqlite3","مكتبة قاعدة بيانات خفيفة تعمل محلياً بدون خادم","Lightweight embedded SQL database","{electron,react-native}","storage","{database,offline,sql}","beginner","{lightweight,essential}","sqlite3",5600,"تخزين البيانات محلياً بدون إنترنت","Local offline data storage","/uploads/1770352766384.png","2026-02-06 04:39:26.434","2026-02-06 04:39:26.434"
74,"sequelize","ORM لإدارة قواعد بيانات SQL في Node.js","Promise-based ORM for SQL databases","{nextjs,electron}","storage","{sql,orm,database}","intermediate","{production-ready,widely-used}","sequelize",29000,"التعامل مع MySQL وSQLite وPostgreSQL","Managing SQL databases with Node.js","/uploads/1770314780961.png","2026-02-05 18:06:21.012","2026-02-05 18:06:21.012"
75,"react","مكتبة لبناء واجهات المستخدم التفاعلية","Library for building user interfaces","{nextjs,electron,react-native}","ui","{frontend,ui,components}","beginner","{essential,widely-used}","react",230000,"بناء واجهات المستخدم","Building interactive UIs","/uploads/1770313145797.png","2026-02-05 17:39:05.845","2026-02-05 17:39:05.845"
76,"next","إطار عمل React لتطبيقات الويب الحديثة","React framework for production web apps","{nextjs}","tools","{ssr,react,framework}","intermediate","{production-ready,widely-used}","next",125000,"بناء مواقع React سريعة ومحسّنة","Building fast and optimized React websites","/uploads/1770313423950.png","2026-02-05 17:43:44.009","2026-02-05 17:43:44.009"
77,"expo","منصة لتطوير تطبيقات React Native بسهولة","Platform for building React Native apps","{react-native}","tools","{mobile,react-native}","beginner","{production-ready,widely-used}","expo",53000,"تسريع تطوير تطبيقات الموبايل","Speeding up mobile app development","/uploads/1770314516955.png","2026-02-05 18:01:57.001","2026-02-05 18:01:57.001"
78,"cors","ميدل وير لإدارة سياسات CORS في السيرفر","Middleware to enable CORS in servers","{nextjs,electron}","security","{cors,security,api}","beginner","{essential,widely-used}","cors",6200,"السماح بالاتصال بين الدومينات","Allowing cross-origin requests","","2026-02-12 21:44:08.329","2026-02-12 21:44:08.329"
79,"dotenv","تحميل متغيرات البيئة من ملف env","Loads environment variables from .env file","{nextjs,electron,react-native}","tools","{env,config,security}","beginner","{essential,widely-used}","dotenv",18000,"إدارة الإعدادات الحساسة بشكل آمن","Managing sensitive configuration securely","/uploads/1770315796606.png","2026-02-05 18:23:16.67","2026-02-05 18:23:16.67"
80,"morgan","مكتبة لتسجيل طلبات HTTP في السيرفر","HTTP request logger middleware","{nextjs,electron}","tools","{logging,server}","beginner","{essential}","morgan",7700,"مراقبة طلبات السيرفر أثناء التطوير","Logging server requests during development","/uploads/1770352339425.png","2026-02-06 04:32:19.459","2026-02-06 04:32:19.459"
81,"nodemon","أداة لإعادة تشغيل السيرفر تلقائياً عند التعديل","Tool that restarts server on file changes","{nextjs,electron}","tools","{dev,server,automation}","beginner","{essential,widely-used}","nodemon",27000,"تسريع عملية التطوير بدون إعادة تشغيل يدوي","Speeding up development workflow","/uploads/1770314921074.png","2026-02-05 18:08:41.113","2026-02-05 18:08:41.113"
82,"express-validator","مكتبة للتحقق من صحة البيانات في Express","Validation middleware for Express","{nextjs,electron}","security","{validation,security,forms}","intermediate","{essential}","express-validator",7800,"التحقق من صحة بيانات المستخدم","Validating user input on server","/uploads/1770352248566.png","2026-02-06 04:30:48.609","2026-02-06 04:30:48.609"
83,"formik","مكتبة لإدارة النماذج في React","Form management library for React","{nextjs,electron,react-native}","ui","{forms,react,ui}","beginner","{widely-used}","formik",33000,"إدارة النماذج والتحقق من المدخلات","Handling forms and validation","/uploads/1770314634751.png","2026-02-05 18:03:54.801","2026-02-05 18:03:54.801"
84,"react-router-dom","مكتبة لإدارة التنقل بين الصفحات في React","Routing library for React web apps","{nextjs,electron}","tools","{routing,navigation,react}","beginner","{essential,widely-used}","react-router-dom",54000,"إنشاء تنقل وصفحات متعددة","Managing navigation and routes","/uploads/1770313833168.png","2026-02-05 17:50:33.239","2026-02-05 17:50:33.239"
85,"lucide-react","مكتبة أيقونات حديثة وخفيفة لـ React","Modern and lightweight icon library for React","{nextjs,electron,react-native}","ui","{icons,ui,react}","beginner","{lightweight}","lucide-react",15000,"إضافة أيقونات نظيفة وسريعة","Adding clean and fast icons","/uploads/1770315917273.png","2026-02-05 18:25:17.299","2026-02-05 18:25:17.299"
86,"tailwindcss","إطار CSS حديث لبناء واجهات بسرعة باستخدام utility classes","Utility-first CSS framework for rapid UI development","{nextjs,electron}","ui","{css,ui,tailwind}","beginner","{widely-used,essential}","tailwindcss",82000,"تصميم واجهات حديثة بسرعة عالية","Building modern UIs quickly","/uploads/1770313537502.jpg","2026-02-05 17:45:37.557","2026-02-05 17:45:37.557"
87,"class-variance-authority","إدارة متغيرات CSS classes بشكل منظم في React","Utility for managing class variants in React","{nextjs,electron}","ui","{css,tailwind,classes}","intermediate","{lightweight}","class-variance-authority",9000,"تنظيم أنماط Tailwind المعقدة","Managing complex Tailwind class variants","/uploads/1770352035145.png","2026-02-06 04:27:15.183","2026-02-06 04:27:15.183"
88,"clsx","مكتبة خفيفة لدمج CSS classes شرطياً","Tiny utility for conditional classNames","{nextjs,electron,react-native}","ui","{css,classnames}","beginner","{lightweight,essential}","clsx",8000,"دمج الكلاسات بشكل ديناميكي","Conditionally combining class names","/uploads/1770352115141.jpg","2026-02-06 04:28:35.265","2026-02-06 04:28:35.265"
89,"@radix-ui/react-slot","مكوّن مرن لبناء UI قابل لإعادة الاستخدام","Composable primitive for building reusable UI","{nextjs,electron}","ui","{ui,radix,components}","intermediate","{powerful}","@radix-ui/react-slot",12000,"بناء مكونات UI مرنة وقابلة للتخصيص","Building flexible and reusable UI components","/uploads/1770316130775.png","2026-02-05 18:28:50.822","2026-02-05 18:28:50.822"
90,"@radix-ui/react-switch","مكوّن Switch جاهز ويمكن تخصيصه في React","Accessible switch component for React","{nextjs,electron}","ui","{ui,toggle,radix}","beginner","{production-ready}","@radix-ui/react-switch",11000,"إضافة أزرار تبديل جاهزة وسهلة الاستخدام","Adding accessible toggle switches","/uploads/1770351898159.png","2026-02-06 04:24:58.205","2026-02-06 04:24:58.205"
91,"@editorjs/editorjs","محرر محتوى غني وقابل للتوسعة","Block-style rich text editor","{nextjs,electron}","tools","{editor,content,blocks}","intermediate","{powerful,widely-used}","@editorjs/editorjs",27000,"إنشاء محرر محتوى متقدم للتدوين","Building advanced content editors","/uploads/1770314876863.png","2026-02-05 18:07:56.932","2026-02-05 18:07:56.932"
92,"better-sqlite3","مكتبة SQLite سريعة ومتزامنة لـ Node.js","Fast and synchronous SQLite library","{electron}","storage","{sqlite,database,offline}","intermediate","{fast,production-ready}","better-sqlite3",7000,"تخزين البيانات محلياً في تطبيقات Electron","Local database storage in Electron apps","/uploads/1770352592767.png","2026-02-06 04:36:32.826","2026-02-06 04:36:32.826"
93,"@emotion/react","مكتبة CSS-in-JS لكتابة الأنماط داخل React","CSS-in-JS library for styling React components","{nextjs,electron}","ui","{css,styling,emotion}","intermediate","{widely-used,powerful}","@emotion/react",17000,"كتابة أنماط ديناميكية داخل مكونات React","Styling React components with dynamic styles","/uploads/1770315871469.png","2026-02-05 18:24:31.53","2026-02-05 18:24:31.53"
94,"@mui/material","مكتبة مكونات UI جاهزة مبنية على Material Design","React UI components based on Material Design","{nextjs,electron}","ui","{mui,material,ui}","beginner","{widely-used,production-ready}","@mui/material",92000,"بناء واجهات احترافية بسرعة","Building professional UIs quickly","/uploads/1770313499191.png","2026-02-05 17:44:59.253","2026-02-05 17:44:59.253"
95,"graphql","لغة استعلام لإدارة وتبادل البيانات بين العميل والخادم","Query language for APIs","{nextjs,electron}","networking","{graphql,api,data}","intermediate","{widely-used,essential}","graphql",20000,"إنشاء APIs مرنة وقوية","Building flexible and efficient APIs","/uploads/1770315494502.png","2026-02-05 18:18:14.552","2026-02-05 18:18:14.552"
96,"react-hook-form","مكتبة خفيفة وسريعة لإدارة النماذج في React","Performant forms library for React","{nextjs,electron,react-native}","ui","{forms,react}","intermediate","{fast,widely-used}","react-hook-form",40000,"إدارة النماذج بكفاءة عالية","Handling complex forms efficiently","/uploads/1770314567127.png","2026-02-05 18:02:47.195","2026-02-05 18:02:47.195"
97,"jose","مكتبة حديثة للتعامل مع JWT و JWE و JWS","Modern library for JWT, JWE, and JWS","{nextjs,electron}","security","{jwt,security,auth}","intermediate","{powerful}","jose",5000,"إدارة التوكنات والتشفير بأمان","Handling tokens and cryptography securely","/uploads/1770352799481.jpg","2026-02-06 04:39:59.512","2026-02-06 04:39:59.512"
98,"groq-sdk","SDK للتعامل مع نماذج Groq للذكاء الاصطناعي","SDK for interacting with Groq AI models","{nextjs,electron}","tools","{ai,sdk,llm}","advanced","{powerful}","groq-sdk",1500,"دمج نماذج ذكاء اصطناعي داخل التطبيقات","Integrating AI models into applications","/uploads/1770353075321.png","2026-02-06 04:44:35.358","2026-02-06 04:44:35.358"
99,"react-native-gesture-handler","مكتبة لإدارة الإيماءات المتقدمة في React Native","Gesture handling library for React Native","{react-native}","ui","{gestures,mobile,ui}","intermediate","{essential,widely-used}","react-native-gesture-handler",23000,"إدارة السحب والنقر والحركات المتقدمة","Handling advanced touch gestures","/uploads/1770315145837.webp","2026-02-05 18:12:25.888","2026-02-05 18:12:25.888"
100,"react-native-reanimated","مكتبة أنيميشن عالية الأداء لـ React Native","High-performance animation library for React Native","{react-native}","animation","{animation,mobile}","advanced","{powerful,fast}","react-native-reanimated",14000,"إنشاء حركات سلسة ومعقدة","Creating smooth and complex animations","","2026-02-12 21:47:20.901","2026-02-12 21:47:20.901"
101,"react-native-safe-area-context","إدارة المساحات الآمنة للشاشات في React Native","Safe area handling for React Native apps","{react-native}","ui","{layout,mobile,safe-area}","beginner","{essential}","react-native-safe-area-context",6000,"ضبط الواجهات حسب أحجام الشاشات","Adjusting layouts for different screens","/uploads/1770352651194.webp","2026-02-06 04:37:31.234","2026-02-06 04:37:31.234"
102,"react-native-screens","تحسين أداء التنقل بين الشاشات","Native screen management for React Native","{react-native}","performance","{navigation,performance}","intermediate","{fast}","react-native-screens",8000,"تحسين أداء التنقل بين الصفحات","Improving navigation performance","/uploads/1770352196639.png","2026-02-06 04:29:56.684","2026-02-06 04:29:56.684"
103,"react-native-svg","دعم SVG داخل تطبيقات React Native","SVG support for React Native","{react-native}","ui","{svg,graphics}","beginner","{essential}","react-native-svg",10000,"عرض الرسومات المتجهة داخل التطبيق","Rendering vector graphics","/uploads/1770351994507.png","2026-02-06 04:26:34.555","2026-02-06 04:26:34.555"
104,"native-base","مكتبة UI جاهزة لتطبيقات React Native","UI component library for React Native","{react-native}","ui","{components,mobile,ui}","beginner","{widely-used}","native-base",20000,"بناء واجهات جاهزة وسريعة","Building ready-to-use mobile interfaces","/uploads/1770315672375.png","2026-02-05 18:21:12.394","2026-02-05 18:21:12.394"
105,"electron-squirrel-startup","أداة لإدارة التثبيت والتحديث في تطبيقات Electron","Installer and updater helper for Electron apps","{electron}","tools","{electron,installer}","intermediate","{essential}","electron-squirrel-startup",1600,"تبسيط عملية تثبيت تطبيقات Electron","Simplifying Electron app installation","/uploads/1770353083211.ico","2026-02-06 04:44:43.247","2026-02-06 04:44:43.247"
106,"openai","SDK للتعامل مع نماذج OpenAI","SDK for interacting with OpenAI models","{nextjs,electron}","tools","{ai,openai,llm}","advanced","{powerful,production-ready}","openai",25000,"دمج الذكاء الاصطناعي داخل التطبيقات","Integrating AI capabilities into apps","/uploads/1770314820499.png","2026-02-05 18:07:00.545","2026-02-05 18:07:00.545"
107,"react-media-recorder","تسجيل الصوت والفيديو داخل تطبيقات React","Audio and video recording for React apps","{nextjs,electron}","tools","{media,recording}","intermediate","{useful}","react-media-recorder",3000,"تسجيل الصوت والفيديو من المتصفح","Recording audio and video from browser","/uploads/1770352932938.png","2026-02-06 04:42:12.985","2026-02-06 04:42:12.985"
108,"clsx","مكتبة خفيفة لدمج CSS classes شرطياً","Tiny utility for conditional classNames","{nextjs,electron,react-native}","ui","{css,classnames}","beginner","{lightweight,essential}","clsx",8000,"دمج الكلاسات بشكل ديناميكي","Conditionally combining class names","/uploads/1770352115141.jpg","2026-02-06 04:28:35.265","2026-02-06 04:28:35.265"
109,"@radix-ui/react-slot","مكوّن مرن لبناء UI قابل لإعادة الاستخدام","Composable primitive for building reusable UI","{nextjs,electron}","ui","{ui,radix,components}","intermediate","{powerful}","@radix-ui/react-slot",12000,"بناء مكونات UI مرنة وقابلة للتخصيص","Building flexible and reusable UI components","/uploads/1770316130775.png","2026-02-05 18:28:50.822","2026-02-05 18:28:50.822"
110,"@radix-ui/react-switch","مكوّن Switch جاهز ويمكن تخصيصه في React","Accessible switch component for React","{nextjs,electron}","ui","{ui,toggle,radix}","beginner","{production-ready}","@radix-ui/react-switch",11000,"إضافة أزرار تبديل جاهزة وسهلة الاستخدام","Adding accessible toggle switches","/uploads/1770351898159.png","2026-02-06 04:24:58.205","2026-02-06 04:24:58.205"
111,"@editorjs/editorjs","محرر محتوى غني وقابل للتوسعة","Block-style rich text editor","{nextjs,electron}","tools","{editor,content,blocks}","intermediate","{powerful,widely-used}","@editorjs/editorjs",27000,"إنشاء محرر محتوى متقدم للتدوين","Building advanced content editors","/uploads/1770314876863.png","2026-02-05 18:07:56.932","2026-02-05 18:07:56.932"
112,"better-sqlite3","مكتبة SQLite سريعة ومتزامنة لـ Node.js","Fast and synchronous SQLite library","{electron}","storage","{sqlite,database,offline}","intermediate","{fast,production-ready}","better-sqlite3",7000,"تخزين البيانات محلياً في تطبيقات Electron","Local database storage in Electron apps","/uploads/1770352592767.png","2026-02-06 04:36:32.826","2026-02-06 04:36:32.826"
113,"@emotion/react","مكتبة CSS-in-JS لكتابة الأنماط داخل React","CSS-in-JS library for styling React components","{nextjs,electron}","ui","{css,styling,emotion}","intermediate","{widely-used,powerful}","@emotion/react",17000,"كتابة أنماط ديناميكية داخل مكونات React","Styling React components with dynamic styles","/uploads/1770315871469.png","2026-02-05 18:24:31.53","2026-02-05 18:24:31.53"
114,"@mui/material","مكتبة مكونات UI جاهزة مبنية على Material Design","React UI components based on Material Design","{nextjs,electron}","ui","{mui,material,ui}","beginner","{widely-used,production-ready}","@mui/material",92000,"بناء واجهات احترافية بسرعة","Building professional UIs quickly","/uploads/1770313499191.png","2026-02-05 17:44:59.253","2026-02-05 17:44:59.253"
115,"graphql","لغة استعلام لإدارة وتبادل البيانات بين العميل والخادم","Query language for APIs","{nextjs,electron}","networking","{graphql,api,data}","intermediate","{widely-used,essential}","graphql",20000,"إنشاء APIs مرنة وقوية","Building flexible and efficient APIs","/uploads/1770315494502.png","2026-02-05 18:18:14.552","2026-02-05 18:18:14.552"
116,"react-hook-form","مكتبة خفيفة وسريعة لإدارة النماذج في React","Performant forms library for React","{nextjs,electron,react-native}","ui","{forms,react}","intermediate","{fast,widely-used}","react-hook-form",40000,"إدارة النماذج بكفاءة عالية","Handling complex forms efficiently","/uploads/1770314567127.png","2026-02-05 18:02:47.195","2026-02-05 18:02:47.195"
117,"jose","مكتبة حديثة للتعامل مع JWT و JWE و JWS","Modern library for JWT, JWE, and JWS","{nextjs,electron}","security","{jwt,security,auth}","intermediate","{powerful}","jose",5000,"إدارة التوكنات والتشفير بأمان","Handling tokens and cryptography securely","/uploads/1770352799481.jpg","2026-02-06 04:39:59.512","2026-02-06 04:39:59.512"
118,"groq-sdk","SDK للتعامل مع نماذج Groq للذكاء الاصطناعي","SDK for interacting with Groq AI models","{nextjs,electron}","tools","{ai,sdk,llm}","advanced","{powerful}","groq-sdk",1500,"دمج نماذج ذكاء اصطناعي داخل التطبيقات","Integrating AI models into applications","/uploads/1770353075321.png","2026-02-06 04:44:35.358","2026-02-06 04:44:35.358"
119,"react-native-gesture-handler","مكتبة لإدارة الإيماءات المتقدمة في React Native","Gesture handling library for React Native","{react-native}","ui","{gestures,mobile,ui}","intermediate","{essential,widely-used}","react-native-gesture-handler",23000,"إدارة السحب والنقر والحركات المتقدمة","Handling advanced touch gestures","/uploads/1770315145837.webp","2026-02-05 18:12:25.888","2026-02-05 18:12:25.888"
120,"react-native-reanimated","مكتبة أنيميشن عالية الأداء لـ React Native","High-performance animation library for React Native","{react-native}","animation","{animation,mobile}","advanced","{powerful,fast}","react-native-reanimated",14000,"إنشاء حركات سلسة ومعقدة","Creating smooth and complex animations","","2026-02-12 21:49:44.601","2026-02-12 21:49:44.601"
121,"react-native-safe-area-context","إدارة المساحات الآمنة للشاشات في React Native","Safe area handling for React Native apps","{react-native}","ui","{layout,mobile,safe-area}","beginner","{essential}","react-native-safe-area-context",6000,"ضبط الواجهات حسب أحجام الشاشات","Adjusting layouts for different screens","/uploads/1770352651194.webp","2026-02-06 04:37:31.234","2026-02-06 04:37:31.234"
122,"react-native-screens","تحسين أداء التنقل بين الشاشات","Native screen management for React Native","{react-native}","performance","{navigation,performance}","intermediate","{fast}","react-native-screens",8000,"تحسين أداء التنقل بين الصفحات","Improving navigation performance","/uploads/1770352196639.png","2026-02-06 04:29:56.684","2026-02-06 04:29:56.684"
123,"react-native-svg","دعم SVG داخل تطبيقات React Native","SVG support for React Native","{react-native}","ui","{svg,graphics}","beginner","{essential}","react-native-svg",10000,"عرض الرسومات المتجهة داخل التطبيق","Rendering vector graphics","/uploads/1770351994507.png","2026-02-06 04:26:34.555","2026-02-06 04:26:34.555"
124,"native-base","مكتبة UI جاهزة لتطبيقات React Native","UI component library for React Native","{react-native}","ui","{components,mobile,ui}","beginner","{widely-used}","native-base",20000,"بناء واجهات جاهزة وسريعة","Building ready-to-use mobile interfaces","/uploads/1770315672375.png","2026-02-05 18:21:12.394","2026-02-05 18:21:12.394"
125,"electron-squirrel-startup","أداة لإدارة التثبيت والتحديث في تطبيقات Electron","Installer and updater helper for Electron apps","{electron}","tools","{electron,installer}","intermediate","{essential}","electron-squirrel-startup",1600,"تبسيط عملية تثبيت تطبيقات Electron","Simplifying Electron app installation","/uploads/1770353083211.ico","2026-02-06 04:44:43.247","2026-02-06 04:44:43.247"
